1. Faixa etária:;2. Gênero:;3. Universidade pública do Estado do Paraná em que atua:;5. Área principal de atuação docente:;7. Tempo de docência no Ensino Superior (não somente na atual IES):;8. Maior titulação acadêmica concluída:;9. Minha formação inicial abordou adequadamente o uso pedagógico de tecnologias digitais educacionais.;10. Sinto-me preparado(a) para incorporar novas tecnologias digitais educacionais às minhas práticas docentes.;11. Já tive contato formativo com o tema Inteligência Artificial aplicada à educação.;12. Nos últimos 24 meses, participei de formações continuadas em tecnologias educacionais.;13. Tenho uma compreensão clara do que é Inteligência Artificial e de como ela funciona em termos gerais.;14. Conheço a diferença entre Inteligência Artificial tradicional (preditiva) e Inteligência Artificial generativa (criativa).;15. Já utilizei ferramentas de IA generativa em contextos pessoais ou profissionais.;16. Sinto-me confiante para avaliar criticamente respostas ou conteúdos gerados por ferramentas de IA.;17. Considero que a IA terá impacto significativo no ensino superior nos próximos anos.;18. Quais ferramentas de IA você já utilizou ao menos uma vez?  ;19. Para quais finalidades você usa IA?  ;20. Utilizo ferramentas de IA para apoiar o planejamento de aulas e atividades didáticas.;21. Utilizo IA para criar ou adaptar materiais didáticos considerando o perfil dos estudantes.;22. Integro a IA em atividades de ensino alinhadas a objetivos pedagógicos claros.;23. Utilizo IA para apoiar processos de avaliação formativa (feedback, rubricas, análise de produções).;24. Consigo identificar limites, riscos e implicações éticas do uso da IA em processos avaliativos.;25. Considero aspectos éticos (viés, privacidade, autoria) ao utilizar IA em contextos educacionais.;26. Discuto com meus estudantes o uso responsável e crítico da IA.;27. Busco ativamente atualizar-me sobre IA e suas implicações para a educação.;28. Compartilho, discuto ou oriento colegas sobre práticas pedagógicas envolvendo IA.;29. A formação docente em IA generativa pode contribuir para a melhoria da qualidade do ensino superior.;30. O uso pedagógico adequado da IA pode tornar as aulas mais engajadoras e significativas.;31. A formação em IA pode apoiar práticas pedagógicas mais inclusivas e personalizadas.;32. Sem formação adequada, o uso da IA pode gerar impactos negativos na educação superior.;33. Existe alguma orientação/política institucional (ou do curso/departamento) sobre uso de IA por docentes e estudantes na IES onde atua?  ;"34. Na sua opinião, qual é a principal dificuldade para a adoção, o uso, de IA no ensino superior? 
(Marque até 2 opções)";35. Se você pudesse participar de uma formação docente, qual seria o seu formato preferido?;36. Qual a quantidade de horas que você acha ideal ter para uma formação docente (independente do formato)?;37. Quais são, em sua opinião, as principais dificuldades para o uso pedagógico da IA no ensino superior?;38. Quais conhecimentos ou competências você considera prioritários em uma formação docente sobre IA e IA generativa, no contexto universitário?;39. Como você acredita que uma formação em IA pode impactar sua prática docente e a aprendizagem dos estudantes universitários?
51 a 60 anos;Masculino;Universidade Estadual de Maringá - UEM;Multidisciplinar / Outra;Mais de 20 anos;Doutorado;1;1;1;Nenhuma;2;1;1;1;3;ChatGPT;Criação de materiais didáticos, Pesquisa acadêmica;0;0;0;0;0;0;0;0;0;2;2;2;4;Não existe;Falta de formação docente específica;Totalmente presencial;20 horas;;;
51 a 60 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Exatas e Tecnológicas;Mais de 20 anos;Doutorado;2;4;2;Nenhuma;5;5;5;5;5;ChatGPT, Gemini, Perplexity;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica;3;4;3;2;5;5;4;3;2;5;5;5;5;Não existe;Falta de formação docente específica, Resistência institucional ou pessoal;Híbrido;40 horas;A  falta de estrutura de rede de qualidade e de computadores em sala de aula. A pouca formação que eu tenho a cerca das possibilidades de uso de IA no ensino.;Alfabetização em IA, ética de uso, como inserir o prompt de comando, IAs aplicadas a áreas específicas.;Hoje em dia o uso de toda novidade em termos de redes sociais e IA deve ser compreendida pelos professores, para que consigam da melhor maneira possível dar boas orientações de uso aos alunos, principalmente enfatizado questôes legais, éticas, de respeito e de dignidade do ser humano. 
51 a 60 anos;Masculino;Universidade Estadual de Londrina - UEL;Ciências Exatas e Tecnológicas;Mais de 20 anos;Doutorado;1;4;2;Nenhuma;5;4;3;4;5;ChatGPT, Copilot, Gemini;Pesquisa acadêmica;1;2;1;1;2;2;6;2;4;5;4;3;3;Sim, mas pouco clara;Falta de tempo para explorar ferramentas, Resistência institucional ou pessoal;Totalmente remoto (online);20 horas;;;
51 a 60 anos;Feminino;Universidade Estadual de Maringá - UEM;Linguagens, Letras e Artes;Mais de 20 anos;Doutorado;1;4;5;2 - 3;5;5;5;4;5;ChatGPT, Gemini;Planejamento de aula, Criação de materiais didáticos, Pesquisa acadêmica;5;5;5;0;5;5;6;6;6;3;3;3;5;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica;Totalmente remoto (online);mais de 40 horas;FALTA DE CONHECIMENTO;USO DAS PRINCIPAIS FERRAMENTAS E COMANDOS (PROMPTS);NÃO HÁ COMO FUGIR DA IA, DEVEMOS SABER COMO UTILIZÁ-LA NO ENSINO SUPERIOR
51 a 60 anos;Feminino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Biológicas e da Saúde;11 a 20 anos;Doutorado;1;4;2;Nenhuma;4;2;2;2;4;ChatGPT;Pesquisa acadêmica;0;0;0;0;3;3;5;1;1;4;3;4;4;Não sei informar;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Híbrido;20 horas;;;
51 a 60 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Biológicas e da Saúde;Mais de 20 anos;Doutorado;1;2;1;Nenhuma;1;1;3;3;5;ChatGPT;Planejamento de aula, Criação de materiais didáticos;2;2;2;0;3;3;5;2;1;4;4;3;4;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica;Totalmente remoto (online);30 horas;CONHECIMENTO DO DOCENTE;NÃO SEI;
Até 30 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Biológicas e da Saúde;2 a 5 anos;Doutorado;1;4;1;2 - 3;5;1;5;5;5;ChatGPT, Gemini, Claude;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Comunicação administrativa;4;5;6;4;5;5;6;1;3;5;5;5;5;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Híbrido;mais de 40 horas;Conhecimentos pedagógicos e tecnológicos ;Conhecimentos pedagógicos e tecnológicos ;Facilita na utilização e otimização de atividades docentes
41 a 50 anos;Feminino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;5;4;Apenas 1;4;1;4;4;5;Gemini;Pesquisa acadêmica;1;2;2;2;4;4;3;4;3;4;4;4;3;Não sei informar;Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);menos de 20 Horas;Ética. ;Aspectos éticos. ;
Acima de 60 anos;Feminino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;5;5;6 ou mais;5;5;5;3;5;ChatGPT, Gemini, Perplexity, Gamma;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Comunicação administrativa;3;3;4;4;6;6;6;6;4;5;4;5;5;Sim, bem clara;Questões éticas e insegurança quanto ao uso;Híbrido;30 horas;os limites no uso. A utilização demasiada, pode despersonalizar a aula;didáticas e psicológicas;esclarecer quanto a possibilidades de uso, sem tirar o espirito inquisitivo da formação dos estudantes.
41 a 50 anos;Feminino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Humanas e Sociais;6 a 10 anos;Doutorado;2;2;2;Apenas 1;4;3;4;4;5;ChatGPT, Copilot, Gemini;Criação de materiais didáticos, Elaboração de atividades/exercícios;2;0;2;0;0;2;1;1;0;4;4;4;4;Sim, mas pouco clara;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Totalmente remoto (online);30 horas;Preconceito quanto ao uso, falta de tempo para estudar/conhecer as ferramentas.;Discernir as diferenças nas IAs e sua melhor forma de utilização no cotidiano. ;Pode impactar especialmente para agilizar processos repetitivos, mas tenho tido dificuldade para incorporar mais uma demanda na rotina.
41 a 50 anos;Feminino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;4;4;2 - 3;4;4;3;2;5;ChatGPT, Copilot, Gemini, DALL·E/Midjourney/Leonardo, Manus e alissa (russia);Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios;6;6;6;0;6;6;6;6;5;5;5;5;5;Não existe;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Híbrido;20 horas;Uso muito mas fico dividida entre estar sendo inovadora ou impostora. É um dilema muito sincero.;Limites éticos, domínio tecnológico, uso criativo das ferramentas ;Aulas mais interessantes 
41 a 50 anos;Masculino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Biológicas e da Saúde;11 a 20 anos;Doutorado;4;3;3;2 - 3;3;4;3;3;3;ChatGPT, Copilot, Gemini, Perplexity;Criação de materiais didáticos, Elaboração de atividades/exercícios;2;2;2;2;2;2;2;2;2;3;3;1;1;Não existe;Falta de infraestrutura tecnológica, Questões éticas e insegurança quanto ao uso;Totalmente presencial;mais de 40 horas;;;
31 a 40 anos;Masculino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Exatas e Tecnológicas;11 a 20 anos;Doutorado;1;4;1;Nenhuma;5;5;5;5;5;ChatGPT, Gemini, Claude, DALL·E/Midjourney/Leonardo;Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica, Comunicação administrativa;2;2;2;0;2;1;4;6;1;3;3;3;5;Não sei informar;Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);20 horas;Inicialmente é aprender a utilizar e entender as suas limitações. Por exemplo, tenho observado que quanto ao conhecimento matemático, as IAs ainda estão muito ruins e não são úteis para estudos mais avançados. Outro ponto é que embora as IAs forneçam ideias interessantes e algumas vezes didáticas, a experiência do dia a dia faz com que a vivência do professor ainda seja fundamental para preparar as aulas personalizadas a turma. No caso, as IAs fornecem apenas informações generalizadas e muitas vezes não condiz com a realidade da turma.;Entender os limites da IA, como criar um prompt com contexto para obter melhores respostas e proteger dados sensíveis.;Auxiliará e muito a criar listas de exercícios, problemas e métodos de avaliação. 
51 a 60 anos;Feminino;Universidade Estadual de Ponta Grossa - UEPG;Multidisciplinar / Outra;Mais de 20 anos;Doutorado;3;5;3;2 - 3;3;1;3;3;5;ChatGPT;Pesquisa acadêmica;1;1;1;1;1;1;1;1;1;5;5;5;5;Não sei informar;Falta de formação docente específica, INVESTIMENTO e TEMPO;Híbrido;mais de 40 horas;Conhecimento;conhecimento técnico e adaptação ;"acesso maior de informações; adaptabilidade; inovação e empreendimentos; preparado para as oportunidades"
31 a 40 anos;Feminino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Biológicas e da Saúde;2 a 5 anos;Doutorado;2;1;2;Nenhuma;2;1;4;1;5;ChatGPT, Copilot, Gemini;Planejamento de aula, Elaboração de atividades/exercícios, Comunicação administrativa;2;2;0;0;0;0;1;1;0;5;5;5;5;Não existe;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Totalmente presencial;40 horas;Incorporar o uso de IA nas atividades dos alunos. Ou a mudança na forma de fazer as atividades sabendo que eles terão a IA para buscar as respostas. ;Ensinar a usar a IA de forma a complementa o conhecimento do aluno. ;A formação ajudaria na mudança do processo da aula. A IA tem que vir para ajudar e não para substituir o conhecimento. Acredito que esse é o maior impasse hoje com os alunos, e até com nós como professores. Queremos que a IA faça as coisas por nós, em vez de auxiliar no aprofundamento ou na melhora da difusão do conhecimento. 
Acima de 60 anos;Feminino;Universidade Estadual de Ponta Grossa - UEPG;Linguagens, Letras e Artes;Mais de 20 anos;Doutorado;1;3;5;Nenhuma;5;5;5;5;5;"ChatGPT, Copilot, Gemini, Perplexity, IAS de pesquisa acadêmica, Consensus, NotebookLM, SciSpace; Litmaps dentre outras";Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica, Orientação de estudantes;3;3;3;2;3;3;3;4;2;5;5;5;3;Não existe;Falta de formação docente específica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Híbrido;40 horas;desconhecimento dos limites e possibilidades das IAs Generativas;Limites e possibilidades de emprego de diferentes IAs;"Deixar minhas aulas mais atraentes para os alunos; empregar tecnologia para letramento digital de alunos e minha também"
51 a 60 anos;Feminino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;4;5;2 - 3;5;5;5;3;5;ChatGPT, Gemini, Claude, Perplexity;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica, Orientação de estudantes;3;3;3;3;3;3;3;3;3;5;5;5;5;Não existe;Falta de formação docente específica, Resistência institucional ou pessoal;Totalmente remoto (online);30 horas;Conhecimento acerca das diferentes ferramentas e seus usos;Construção de prompt, escolha das melhores ferramentas de IA;Desmistificando o uso e proporcionando mais interação dos conteúdos 
Acima de 60 anos;Masculino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Humanas e Sociais;Mais de 20 anos;Mestrado;1;2;2;Nenhuma;3;3;5;3;5;Copilot, Gemini;Criação de materiais didáticos, Elaboração de atividades/exercícios;1;1;1;1;1;1;1;1;1;3;3;3;5;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica;Híbrido;mais de 40 horas;Capacitação;didática;pouco
51 a 60 anos;Feminino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;2;4;4;2 - 3;4;4;5;5;5;ChatGPT, Copilot, Gemini, Perplexity;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios;4;4;4;2;4;5;5;5;5;5;5;5;5;Sim, bem clara;Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Híbrido;20 horas;resistencia dos docentes, falta de habilidade em experimentar e aplicar.;experimentaçao, curiosidade, iniciativa;tornar mais proximo e acessivel, ensinar exemplos praticos, aprender em comunidade
31 a 40 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Exatas e Tecnológicas;11 a 20 anos;Doutorado;2;4;3;Nenhuma;3;2;2;3;5;ChatGPT, Gemini;Avaliação/feedback, Comunicação administrativa;2;1;1;3;2;2;2;2;2;5;5;5;5;Sim, mas pouco clara;Falta de formação docente específica, Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Totalmente remoto (online);mais de 40 horas;Desconhecimento da ferramenta, suas vantagens e aplicações.;Utilização da IA na pesquisa acadêmica.;Tornando mais ágil o processo de aprendizagem.
41 a 50 anos;Feminino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;3;3;Apenas 1;3;4;4;3;5;ChatGPT, Copilot, Gemini, Perplexity;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Orientação de estudantes, Comunicação administrativa;3;3;3;3;4;4;6;4;2;5;5;5;5;Não sei informar;Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);40 horas;;;
Acima de 60 anos;Feminino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Biológicas e da Saúde;Mais de 20 anos;Doutorado;1;1;4;Nenhuma;2;1;1;1;5;ChatGPT;Elaboração de atividades/exercícios;1;1;1;1;1;1;1;1;1;5;5;5;5;Não existe;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Totalmente remoto (online);40 horas;Falta de conhecimento;Tudo;Maior interação 
41 a 50 anos;Feminino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Humanas e Sociais;6 a 10 anos;Doutorado;2;2;2;Apenas 1;2;2;2;2;4;Nenhuma;Ainda não utilizei IA;0;0;0;0;0;0;0;0;0;4;4;4;5;Não existe;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);40 horas;Compreender o seu funcionamento e aplicabilidade responsável.;Como utilizar nos processos educativos no Ensino Superior de forma consciente e ética, com participação de docentes e discentes, numa trabalho criativo.;Delinear novas formas de conduzir o processo educativo mediados pelos recursos que passam a integrar a vida de todas as pessoas.
41 a 50 anos;Masculino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Humanas e Sociais;11 a 20 anos;Doutorado;1;3;2;Nenhuma;4;2;1;4;5;ChatGPT, Copilot, Gemini, Perplexity;Elaboração de atividades/exercícios, Pesquisa acadêmica, Comunicação administrativa;0;0;0;0;3;3;2;0;0;5;5;5;5;Sim, mas pouco clara;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Totalmente remoto (online);mais de 40 horas;;;
51 a 60 anos;Feminino;Universidade Estadual de Ponta Grossa - UEPG;Linguagens, Letras e Artes;Mais de 20 anos;Doutorado;1;3;4;2 - 3;4;3;5;4;5;ChatGPT, Copilot, Gemini;Criação de materiais didáticos;2;2;1;0;6;6;2;3;1;5;5;5;5;Não sei informar;Falta de formação docente específica, Falta de infraestrutura tecnológica, Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Totalmente remoto (online);40 horas;A falta de formação ;O conhecimento técnico, mas, principalmente, a reflexão sobre as questões pedagógicas e sobre os limites éticos que envolvem a utilização da IA na docência e na pesquisa ;Uma formação em IA pode promover a capacitação necessária para o uso proficiente e responsável da IA em nossa prática docente 
51 a 60 anos;Feminino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Exatas e Tecnológicas;Mais de 20 anos;Doutorado;1;4;4;2 - 3;3;4;5;3;5;ChatGPT, notebookLM, consensus;Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica, Comunicação administrativa;2;2;1;0;1;2;2;2;1;5;4;4;5;Não existe;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Totalmente remoto (online);30 horas;Resistencia e medo dos professores por não conhecerem o quanto a IA pode ajudar e motivar os alunos a aprenderem mais. Saber usar a IA e planejar de forma apropriada as aulas. Preguiça de muitos professores que não querem sair da zona de conforto e por isso não dão uma chance para conhecer o potencial e a melhoria que a IA pode trazer para a sala de aula que há mais de 100 anos é da mesma forma. Tudo no mundo evoluiu, menos a sala de aula, estamos parados no tempo e por isso os alunos demonstram tanto desinteresse pelo ensino superior. Precisamos olhar para dentro de cada um, e não culpar sempre o sistema. A docência merece reflexão e atualização constantes.  A IA é uma realidade: temos que aprener a usá-la ao nosso favor, sempre com ética. Nunca o professor será substituído pela IA (pelo menos eu espero...kkk). O professor é o fio condutor, mas o aluno é quem faz a trajetória e aprende a caminhar. Nesse aspecto a IA pode ajudá-lo a encontrar a melhor estratégia de aprendizado.;Aprender a usar a IA, explorar e enxergar onde pode ser usado para melhorar a qualidade da aula. Reconhecer o limite para saber até onde podemos usar a IA na docência universitária. Ter ética e caráter para não plagear, pensamento crítico e conhecimento técnico para analisar a proposta. Estar aberto a novos conhecimentos, ao novo, despertar a consciência para novas abordagens e aprendizagens. Ser humilde em dizer que muitas vezes nossas aulas não sao tão boas e que o uso da IA pode facilitar a aprendizagem dos alunos. Integrar conhecimentos com outros docentes. Acho interessante os seguintes temas: Busca de artigos cientificos, elaboração de jogos para melhoria da aprendizagem, infograficos para ilustrar processos, fluxogramas criativos, mapas mentais.   ;Na melhoria da sala de aula como um todo, da motivação dos alunos, da melhor capacidade de processos produtivos e projetos inovadores, gerar insights, enfim, acho que se usado de forma ética e profissional pode ajudar muito todo corpo docente. 
51 a 60 anos;Feminino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;3;4;2 - 3;4;4;4;4;4;ChatGPT, Gemini, Notebook lm;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica, Orientação de estudantes, Comunicação administrativa;4;4;4;3;4;4;4;4;4;5;5;5;4;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Totalmente remoto (online);20 horas;A falta de formação específica e o desinteresse pessoal das/os professoras/es;Os limites e a ética para a utilização.;"Acredito que pode impactar de maneira positiva, pois, com o conhecimento de uso dessa ferramenta, haverá mais tempo, no meio de tantos afazeres acadêmicos, para melhorar a performace da/o professora. 
"
51 a 60 anos;Feminino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;3;4;Apenas 1;3;3;4;4;4;ChatGPT, Gemini;Criação de materiais didáticos, Pesquisa acadêmica;0;1;1;0;2;3;3;1;1;3;4;3;5;Sim, mas pouco clara;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);mais de 40 horas;Etica;conhecer ferramentas e os limites eticos do uso;tanto positiva quanto negativa dependendo dos criterios de uso
41 a 50 anos;Masculino;Universidade Estadual de Ponta Grossa - UEPG;Multidisciplinar / Outra;Mais de 20 anos;Doutorado;1;2;1;Nenhuma;4;1;1;1;4;ChatGPT, Gemini;Pesquisa acadêmica;0;0;0;0;0;0;0;0;0;3;3;3;3;Não sei informar;Falta de formação docente específica, Resistência institucional ou pessoal;Híbrido;mais de 40 horas;Não sei opinar;Não sei opinar;Não sei opinar
31 a 40 anos;Feminino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Humanas e Sociais;2 a 5 anos;Doutorado;4;3;1;Nenhuma;3;1;4;4;5;Gemini;Criação de materiais didáticos;1;1;0;0;2;1;6;1;1;3;3;3;5;Não existe;Questões éticas e insegurança quanto ao uso, achei a pergunta tendenciosa, já indicando que o professor deve usar. Minha questão: deve mesmo?;Totalmente remoto (online);30 horas;Creio que questões de ordem ética (a aula é autoral) e conhecer o que tem disponível e como utilizar;;
51 a 60 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;3;1;Nenhuma;3;2;2;1;4;ChatGPT, Gemini;Elaboração de atividades/exercícios, Pesquisa acadêmica;1;1;1;1;2;2;1;4;0;4;3;3;5;Não sei informar;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Totalmente remoto (online);mais de 40 horas;Formação docente.;Das ferramentas.;De maneira positiva.
51 a 60 anos;Feminino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Exatas e Tecnológicas;11 a 20 anos;Doutorado;1;4;5;2 - 3;4;4;5;1;5;ChatGPT, Copilot, Gemini, DeepSeek;Planejamento de aula, Criação de materiais didáticos, Pesquisa acadêmica, Comunicação administrativa;3;3;2;1;3;4;1;4;4;5;5;5;5;Sim, mas pouco clara;Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Totalmente presencial;40 horas;"1) a falta de letramento digital e infraestrutura para alunos e professores; 2) a crise nos modelos de avaliação, que não conseguem distinguir uso assistivo de plágio; 3) a resistência docente e a sobrecarga institucional sem formação adequada; e 4) a ausência de políticas institucionais claras sobre ética, privacidade e integração curricular da IA.";"Compreensão básica do funcionamento e dos limites da IA generativa.
Redesenho de avaliações focadas em processo e criticidade.
Mediação ética sobre autoria, privacidade e vieses.
Integração curricular transversal e alinhada aos objetivos pedagógicos.";Para os estudantes, a IA passa a ser um assistente de aprendizagem que amplia sua autonomia e capacidade de investigação. O resultado é uma relação mais ativa, ética e colaborativa com o conhecimento, preparando-os para um mercado em transformação.
51 a 60 anos;Feminino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Humanas e Sociais;11 a 20 anos;Doutorado;1;4;4;Apenas 1;4;2;4;4;5;ChatGPT, Gamma;Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica;4;4;4;5;5;6;6;4;2;5;5;5;5;Não sei informar;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Híbrido;30 horas;.;.;.
51 a 60 anos;Feminino;Universidade Estadual de Ponta Grossa - UEPG;Ciências Exatas e Tecnológicas;Mais de 20 anos;Doutorado;1;5;5;2 - 3;5;4;5;4;5;ChatGPT, Gemini;Planejamento de aula, Elaboração de atividades/exercícios, Avaliação/feedback;2;1;3;1;3;5;6;2;1;5;5;5;5;Não existe;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Totalmente remoto (online);20 horas;A sobrecarga docente na IES estaduais do Paraná. Devido a falta de reposição do corpo docente nos últimos 10 anos, temos acumulado funções, participações em comissões, projetos financiados e  assim falta tempo para explorar as ferramentas existentes e participar de discussões sobre segurança digital e ética na sua inserção na educação.;Numa formação docente para IAGen encontraremos docentes com níveis de desenvolvimento de competências digitais diferentes. Além disso, considerando a falta de tempo dos docentes, a formação precisa focar no uso crítico, ético e prático, pensando na criação de prompts que ajude os docentes na sua prática, além de discussões dos limites e vieses das IAs.;Nossos alunos estão usando e precisamos nos adaptar, não sendo fiscais de quem usou IA, mas criando um ambiente rico de discussão sobre como podemos usá-la, orientando os acadêmicos de como usa-la com responsabilidade.
41 a 50 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Exatas e Tecnológicas;6 a 10 anos;Mestrado;1;4;2;Apenas 1;4;5;5;4;5;ChatGPT, Copilot, Gemini;Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica;1;1;1;0;3;3;2;1;3;5;5;5;4;Não existe;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);30 horas;Saber onde e como utilizar;Critério para conteúdo qualificado e certificado;Acredito que exponenciar o conhecimento
Acima de 60 anos;Feminino;Universidade Estadual do Centro-Oeste - UNICENTRO;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;5;3;4;6 ou mais;4;4;4;3;3;ChatGPT, Gemini, Manus;Ainda não utilizei IA;2;1;2;2;4;6;6;6;4;2;2;2;4;Sim, mas pouco clara;Questões éticas e insegurança quanto ao uso, Compreender que a inteligência NAO É ARTIFICIAL.;Híbrido;mais de 40 horas;Aprofundamento didático- pedagógico, crença exagerada nas tecnologias como INOVADORAS! ;Aprofundamento didático- pedagógico, Ética e recursos hídricos no uso das tecnologias, aproximações com os estudos cognitivos da neurociência.;Não acredito em impactos exclusivos da IA. Essa é mais uma ferramenta que deve ser analisada criticamente, não vejo grandes avanços de uso pedagógico. 
